0  Q0  16532419  1  0.6416405  8143811
0  Q0  10628767  2  0.54951614  2240159
0  Q0  11335860  3  0.5350977  2947252
0  Q0  14831629  4  0.53509766  6443021
0  Q0  393001  5  0.47444892  393001
0  Q0  42240424  6  0.4744489  297384
0  Q0  36233757  7  0.47444886  2679325
0  Q0  19510470  8  0.43197313  2733254
0  Q0  14827874  9  0.4319731  6439266
0  Q0  26025820  10  0.43197307  859996
1  Q0  16532419  1  0.7595264  8143812
1  Q0  10628767  2  0.65047646  2240160
1  Q0  42240424  3  0.56161743  297385
1  Q0  59453688  4  0.5616174  733433
1  Q0  26886351  5  0.51133776  1720528
1  Q0  26025820  6  0.5113377  859997
1  Q0  5836  7  0.51133764  5837
2  Q0  11880289  1  0.6909358  3491683
2  Q0  4828631  2  0.69093573  4828633
2  Q0  21692235  3  0.54231036  4915021
2  Q0  22107641  4  0.5423103  5330427
2  Q0  8385277  5  0.54231024  8385279
2  Q0  6121668  6  0.4780244  6121670
2  Q0  15778034  7  0.47802436  7389428
2  Q0  9498458  8  0.47802433  1109852
3  Q0  2739854  1  0.5978447  2739857
3  Q0  23389795  2  0.5786386  6612582
3  Q0  14717500  3  0.5704322  6328895
3  Q0  20280410  4  0.5093074  3503197
3  Q0  17088791  5  0.5093073  311578
3  Q0  1544804  6  0.49636108  1544807
3  Q0  15153602  7  0.49636102  6764997
3  Q0  43334921  8  0.49355593  1391884
3  Q0  13373629  9  0.4935559  4985024
3  Q0  3093512  10  0.49355587  3093515
3  Q0  16626264  11  0.48479554  8237659
3  Q0  24530130  12  0.4847955  7752917
3  Q0  13777706  13  0.48479548  5389101
3  Q0  9881829  14  0.47264305  1493224
3  Q0  599582  15  0.47264302  599585
3  Q0  10279084  16  0.46359372  1890479
3  Q0  3222187  17  0.4457669  3222190
3  Q0  13519661  18  0.4402175  5131056
3  Q0  10944947  19  0.38392746  2556342
3  Q0  17463469  20  0.37006056  686256
3  Q0  14174055  21  0.3459015  5785450
3  Q0  4378885  22  0.33975863  4378888
3  Q0  14729253  23  0.33391926  6340648
3  Q0  3672261  24  0.33391923  3672264
3  Q0  2107238  25  0.3320648  2107241
3  Q0  31347396  26  0.3318551  6181575
3  Q0  13940200  27  0.32608762  5551595
3  Q0  14464451  28  0.32604665  6075846
3  Q0  52850476  29  0.31350356  2518831
3  Q0  5939172  30  0.31076133  5939175
3  Q0  10605189  31  0.3107613  2216584
3  Q0  25737507  32  0.30707934  571686
3  Q0  19058822  33  0.30514845  2281609
3  Q0  5431268  34  0.30256632  5431271
3  Q0  5035851  35  0.296114  5035854
3  Q0  3727986  36  0.29611397  3727989
3  Q0  24896957  37  0.2847458  8119744
3  Q0  20375264  38  0.28474578  3598051
3  Q0  14185503  39  0.28474575  5796898
3  Q0  15478227  40  0.27960616  7089622
3  Q0  1332250  41  0.27797627  1332253
3  Q0  27158570  42  0.2777522  1992749
3  Q0  39729277  43  0.2737949  6174848
3  Q0  15790930  44  0.2726574  7402325
3  Q0  44500794  45  0.26534542  2557757
3  Q0  8595678  46  0.2653454  207073
3  Q0  14831629  47  0.25752696  6443024
3  Q0  35531883  48  0.25752693  1977454
3  Q0  10874408  49  0.24728777  2485803
